source,target,weight
586529,556830,1
534458,575823,1
576437,685983,1
292325,588589,1
686372,203598,1
676476,586495,1
608969,545965,1
527570,572189,2
683777,49258,2
97319,166884,1
538764,689202,2
104258,637827,1
585270,515725,1
688087,500128,1
522269,575553,1
683261,679691,1
515788,541767,1
690645,84781,1
161987,29444,1
181299,518226,1
69236,654387,1
142825,124021,1
638361,564146,1
588069,331374,1
208564,601837,1
29181,62826,1
687733,522750,1
692108,199010,1
607160,150745,3
586058,573163,2
633891,513008,2
585723,149514,1
582200,511886,1
246897,246897,1
517479,676229,1
50406,670829,1
690645,218671,1
240242,573087,1
500176,530993,1
566030,680534,1
637827,690190,1
150745,654825,1
35172,195393,1
53860,15898,1
28392,677470,1
608649,688531,2
630577,588836,1
686053,21668,1
677004,126361,1
637889,542290,1
577783,554255,1
37541,560940,1
3961,121554,2
639360,125124,1
103172,521235,1
601482,133175,1
525936,545965,1
235304,46796,1
63441,687298,1
668509,541888,1
562246,8982,1
689874,116005,1
507190,59280,1
65145,687014,1
45581,564290,1
67301,665847,1
27289,604103,1
600903,607908,1
124253,132496,1
73704,10058,1
553603,216571,1
677429,580733,1
520219,573100,1
138299,500416,1
547223,557800,1
679462,2968,3
185230,308588,1
83268,176427,1
233790,203859,1
608035,29444,2
578506,571045,1
511910,562722,1
36235,588369,2
